timestamp,device,roll,pitch,yaw,speed
2025-07-11T12:26:58.077,Rev_4,62.37,-6.45,0.05,0.0092
2025-07-11T12:26:58.137,Rev_4,62.37,-6.45,0.05,0.0092
2025-07-11T12:26:58.165,Rev_2,8.09,1.94,4.05,0.0022
2025-07-11T12:26:58.196,Rev_3,3.6,-16.14,0.4,0.0005
2025-07-11T12:26:58.227,Rev_2,8.08,1.94,4.33,0.0022
2025-07-11T12:26:58.316,Rev_3,3.55,-16.13,0.4,0.0007
2025-07-11T12:26:58.317,Rev_4,62.37,-6.45,0.05,0.0092
2025-07-11T12:26:58.345,Rev_2,8.08,1.94,4.29,0.0022
2025-07-11T12:26:58.377,Rev_4,62.37,-6.45,0.05,0.0092
2025-07-11T12:26:58.406,Rev_2,8.07,1.94,4.36,0.0022
2025-07-11T12:26:58.435,Rev_3,3.58,-16.19,0.4,0.0006
2025-07-11T12:26:58.437,Rev_4,62.37,-6.45,0.06,0.0092
2025-07-11T12:26:58.525,Rev_2,8.06,1.94,4.67,0.0022
2025-07-11T12:26:58.556,Rev_3,3.6,-16.18,0.4,0.0005
2025-07-11T12:26:58.557,Rev_4,62.37,-6.45,0.06,0.0092
2025-07-11T12:26:58.646,Rev_2,8.06,1.95,4.62,0.0022
2025-07-11T12:26:58.675,Rev_3,3.62,-16.17,0.4,-0.0044
2025-07-11T12:26:58.677,Rev_4,62.38,-6.44,0.06,0.0092
2025-07-11T12:26:58.705,Rev_2,8.11,1.95,4.44,-0.0005
2025-07-11T12:26:58.796,Rev_3,3.63,-16.16,0.39,-0.0044
2025-07-11T12:26:58.797,Rev_4,62.38,-6.44,0.06,0.0092
2025-07-11T12:26:58.825,Rev_2,8.15,1.94,4.5,-0.0005
2025-07-11T12:26:58.859,Rev_4,62.38,-6.43,0.06,0.0092
2025-07-11T12:26:58.916,Rev_3,3.65,-16.15,0.4,0.0005
2025-07-11T12:26:58.945,Rev_2,8.13,1.94,4.23,0.0022
2025-07-11T12:26:58.978,Rev_4,62.38,-6.43,0.06,0.0092
2025-07-11T12:26:59.035,Rev_3,3.65,-16.15,0.39,-0.0093
2025-07-11T12:26:59.097,Rev_4,62.38,-6.43,0.06,0.0092
2025-07-11T12:26:59.156,Rev_3,3.6,-16.14,0.39,-0.0042
2025-07-11T12:26:59.217,Rev_4,62.39,-6.43,0.06,0.0092
2025-07-11T12:26:59.244,Rev_2,8.12,1.94,4.49,0.0022
2025-07-11T12:26:59.246,Rev_2,8.11,1.94,4.28,0.0022
2025-07-11T12:26:59.248,Rev_2,8.1,1.94,4.34,0.0022
2025-07-11T12:26:59.275,Rev_3,3.6,-16.14,0.39,-0.0044
2025-07-11T12:26:59.277,Rev_4,62.39,-6.43,0.06,0.0092
2025-07-11T12:26:59.366,Rev_2,8.14,1.94,4.6,-0.0005
2025-07-11T12:26:59.395,Rev_3,3.62,-16.19,0.4,-0.0043
2025-07-11T12:26:59.397,Rev_4,62.39,-6.43,0.06,0.0092
2025-07-11T12:26:59.485,Rev_2,8.18,1.94,4.5,-0.0005
2025-07-11T12:26:59.518,Rev_4,62.38,-6.43,0.06,0.0092
2025-07-11T12:26:59.578,Rev_4,62.38,-6.43,0.06,0.0092
2025-07-11T12:26:59.636,Rev_3,3.63,-16.18,0.4,0.0005
2025-07-11T12:26:59.665,Rev_2,8.21,1.94,4.68,-0.0005
2025-07-11T12:26:59.668,Rev_2,8.19,1.94,4.63,0.0022
2025-07-11T12:26:59.698,Rev_4,62.38,-6.43,0.06,0.0092
2025-07-11T12:26:59.726,Rev_2,8.18,1.94,4.67,0.0022
2025-07-11T12:26:59.755,Rev_3,3.64,-16.17,0.4,0.0005
2025-07-11T12:26:59.818,Rev_4,62.39,-6.42,0.06,0.0092
2025-07-11T12:26:59.846,Rev_2,8.16,1.94,4.57,0.0022
2025-07-11T12:26:59.936,Rev_3,3.59,-16.16,0.4,0.0007
2025-07-11T12:26:59.937,Rev_4,62.39,-6.42,0.06,0.0092
