time,Roll,Pitch,Yaw,TimeSec,dRoll,dPitch,dYaw,dTime,Speed,Running
17:46:06.275,-38.44,15.21,4.0,63966.275,96.62,5.460000000000001,3.0,0.15600000000267755,620.6451172699136,False
17:46:06.810,-0.26,3.53,-16.0,63966.81,38.18,-11.680000000000001,-20.0,0.5349999999962165,83.46866630639285,False
17:46:06.993,-58.24,16.55,2.0,63966.993,-57.980000000000004,13.020000000000001,18.0,0.1830000000045402,339.2910564225633,False
17:46:07.259,-149.14,7.64,1.0,63967.259,-90.89999999999998,-8.91,-1.0,0.26599999999598367,343.387625903696,False
17:46:07.471,-139.13,6.05,2.0,63967.471,10.009999999999991,-1.5899999999999999,1.0,0.21199999999953434,48.04105763029434,False
17:46:07.561,-126.43,4.26,4.0,63967.561,12.699999999999989,-1.79,2.0,0.0900000000037835,144.2280858189269,False
17:46:07.683,-33.23,12.22,5.0,63967.683,93.20000000000002,7.960000000000001,1.0,0.12199999999575084,766.7594287262144,False
17:46:08.077,30.51,9.96,-0.0,63968.077,63.739999999999995,-2.26,-5.0,0.39400000000023283,162.37497246602152,False
17:46:08.371,-72.73,8.49,-2.0,63968.371,-103.24000000000001,-1.4700000000000006,-2.0,0.294000000001688,351.25793688972306,False
17:46:08.459,-71.88,14.91,1.0,63968.459,0.8500000000000085,6.42,3.0,0.08800000000337604,81.10396921118809,False
17:46:08.940,-44.36,13.68,4.0,63968.94,27.519999999999996,-1.2300000000000004,3.0,0.48099999999976717,57.60986786522726,False
17:46:09.362,-15.91,1.99,-9.0,63969.362,28.45,-11.69,-13.0,0.4219999999986612,79.1291307309985,False
17:46:09.449,-2.14,2.65,-20.0,63969.449,13.77,0.6599999999999999,-11.0,0.08699999999953434,202.7191623721911,False
17:46:09.960,55.2,21.17,7.0,63969.96,57.34,18.520000000000003,27.0,0.510999999998603,129.21581484054465,False
17:46:10.019,-12.64,9.89,7.0,63970.019,-67.84,-11.280000000000001,0.0,0.059000000001105946,1165.6167694688836,False
17:46:10.140,-49.17,6.22,21.0,63970.14,-36.53,-3.670000000000001,14.0,0.12099999999918509,324.7323770867634,False
17:46:10.623,10.53,13.73,-2.0,63970.623,59.7,7.510000000000001,-23.0,0.4830000000001746,133.3675691935807,False
17:46:11.188,-127.28,5.34,6.0,63971.188,-137.81,-8.39,8.0,0.5650000000023283,244.77299054391526,False
17:46:11.310,-129.75,6.52,8.0,63971.31,-2.469999999999999,1.1799999999999997,2.0,0.12199999999575084,27.788335956134635,False
17:46:13.019,-45.65,4.18,-2.0,63973.019,84.1,-2.34,-10.0,1.7090000000025611,49.575637094308625,False
17:46:13.079,-38.16,6.71,-2.0,63973.079,7.490000000000002,2.5300000000000002,0.0,0.059999999997671694,131.76262326713262,False
17:46:13.175,21.65,16.94,-2.0,63973.175,59.809999999999995,10.23,0.0,0.09600000000500586,632.0684497203974,False
17:46:13.888,-71.29,2.09,-2.0,63973.888,-92.94,-14.850000000000001,0.0,0.7129999999961001,132.00405810368014,False
17:46:13.954,-63.42,5.24,-2.0,63973.954,7.8700000000000045,3.1500000000000004,0.0,0.06599999999889405,128.43927865628424,False
