time,Roll,Pitch,Yaw
17:39:48.268,-1.59,10.75,40.0
17:39:48.779,18.92,-5.29,-2.0
17:39:48.932,-142.68,-7.52,
17:39:49.079,-112.56,9.52,
17:39:49.141,-124.35,6.6,1.0
17:39:49.228,-144.88,-2.32,
17:39:49.353,-7.88,1.01,20.0
17:39:49.440,59.4,15.45,36.0
17:39:49.830,-48.7,3.07,-1.0
17:39:49.918,10.88,-9.78,-3.0
17:39:50.221,-121.83,8.83,
17:39:50.310,-124.18,5.77,
17:39:50.431,-93.92,17.7,1.0
17:39:50.521,-5.51,11.73,19.0
17:39:50.642,-161.48,-5.61,
17:39:51.032,3.44,-9.41,-34.0
17:39:51.119,-70.57,1.26,-2.0
17:39:51.394,-132.55,-4.94,
17:39:51.481,-116.19,5.7,
17:39:51.598,-8.44,0.97,3.4
17:39:51.720,-162.72,16.58,
17:39:52.108,-73.75,8.74,-2.0
17:39:52.199,-25.96,-17.31,
17:39:52.318,-94.25,7.0,-2.0
17:39:52.470,-161.73,-5.64,
17:39:52.708,-13.05,16.59,
17:39:52.801,3.39,5.3,4.66
17:39:53.188,-150.67,-4.86,
17:39:53.278,28.98,-18.74,
17:39:53.373,-152.78,1.85,
17:39:53.583,-157.02,-7.72,
17:39:53.670,-128.96,1.7,
17:39:53.794,-137.84,-2.21,
17:39:53.881,-69.28,11.94,
17:39:53.971,-73.69,8.57,21.0
17:39:54.358,-132.22,-7.66,
17:39:54.573,-167.69,12.04,
17:39:54.573,13.3,-0.16,-3.0
17:39:54.691,-1.95,19.12,-2.0
17:39:54.749,-33.52,-1.04,
17:39:54.959,-153.05,3.19,
17:39:55.049,-127.91,14.86,
17:39:55.139,-142.95,-3.69,
17:39:55.258,-142.28,3.93,8.0
17:39:55.349,-115.9,9.92,1.0
17:39:55.472,0.07,14.47,23.0
17:39:55.860,-193.25,9.88,
17:39:55.947,18.02,-26.98,
17:39:56.342,-136.26,5.86,
17:39:56.427,-123.08,9.61,
17:39:56.517,-146.52,3.57,
17:39:56.667,-49.99,9.99,2.0
17:39:56.759,-52.82,13.43,1.0
17:39:57.120,-158.07,1.15,
17:39:57.237,32.68,-24.33,
17:39:57.334,2.48,1.61,-25.0
17:39:57.574,-161.02,4.51,
17:39:57.598,-143.3,10.5,
17:39:57.689,-137.41,6.04,
17:39:57.870,-149.9,0.64,1.0
17:39:57.897,-64.28,18.11,6.0
17:39:58.022,-23.0,7.27,21.0
17:39:58.407,37.2,13.53,-1.0
17:39:58.530,35.12,-6.33,-3.0
17:39:58.588,-53.83,6.53,-2.0
17:39:58.797,-161.52,20.55,
17:39:58.888,-90.68,15.91,
17:39:59.013,-137.11,7.61,
17:39:59.131,-138.17,7.83,4.0
17:39:59.188,-30.14,12.26,1.0
17:39:59.341,21.2,12.23,27.0
17:39:59.697,-7.41,8.09,-18.0
17:39:59.787,28.75,-7.25,-3.0
17:39:59.997,-128.74,8.04,
17:40:00.092,-120.24,16.79,
17:40:00.177,-74.49,16.86,
17:40:00.271,-144.38,-5.25,
17:40:00.359,-40.52,11.89,4.0
17:40:00.477,-45.61,11.35,1.0
17:40:00.963,-25.07,10.51,
17:40:01.048,-3.8,1.48,-31.0
17:40:01.262,-97.91,15.64,
17:40:01.379,-110.38,12.1,
17:40:01.470,-147.26,13.13,
17:40:01.558,-171.59,10.68,
17:40:01.681,-1.3,19.17,2.0
17:40:01.739,-70.09,6.4,21.0
17:40:02.248,-39.75,-1.45,
17:40:02.338,-20.57,2.46,-3.0
17:40:02.460,-111.52,3.3,
17:40:02.549,-128.58,4.19,
17:40:02.638,-110.94,15.82,
17:40:02.788,-145.06,15.49,
17:40:02.850,-149.72,-5.66,
17:40:02.970,-146.97,6.16,9.0
17:40:03.028,-142.32,5.05,1.0
17:40:03.118,-137.77,11.07,
17:40:03.238,-82.11,13.73,3.0
17:40:03.750,-160.49,-1.23,
17:40:03.838,-33.25,11.29,
17:40:04.078,-131.3,1.7,
17:40:04.108,-161.47,-1.27,
17:40:04.201,-147.02,7.69,
17:40:04.323,-132.66,14.54,
17:40:04.410,-147.85,3.94,
17:40:04.534,-143.86,4.45,9.0
17:40:04.620,-144.55,0.19,3.0
17:40:04.711,-148.19,-3.54,
17:40:04.832,-103.4,12.19,
17:40:04.920,-69.02,14.68,3.0
17:40:05.398,-112.79,11.55,
17:40:05.491,2.73,0.69,-34.0
17:40:05.639,-35.33,1.1,-2.0
17:40:05.698,-151.26,-6.72,
17:40:05.788,-163.64,4.04,
17:40:05.878,-144.39,6.34,
17:40:05.998,-143.37,3.96,
17:40:06.062,-137.02,12.0,
17:40:06.178,-150.33,16.11,
17:40:06.271,-130.98,-1.66,
17:40:06.361,-114.12,11.38,
17:40:06.899,-42.27,10.81,
17:40:06.990,0.21,2.63,-33.0
17:40:07.051,-124.93,-0.91,
17:40:07.168,-132.4,-8.59,
17:40:07.265,-97.75,10.6,
17:40:07.382,-163.29,15.26,
17:40:07.468,-134.59,18.16,
17:40:07.560,-140.27,16.35,
17:40:07.678,-83.69,15.85,
17:40:07.772,-156.03,3.05,
17:40:07.861,-147.85,8.72,
17:40:07.981,-143.8,4.3,
17:40:08.071,-142.34,6.54,
17:40:08.190,-137.64,7.54,
17:40:08.281,-127.55,5.18,
17:40:08.369,-131.84,5.57,
17:40:08.428,-134.4,4.27,
17:40:08.550,-132.97,5.36,
17:40:08.640,-130.95,5.93,
17:40:08.823,-134.88,4.68,
17:40:08.939,-135.45,5.01,
17:40:08.998,-135.9,4.12,
17:40:09.061,-135.03,5.11,
17:40:09.152,-134.02,5.29,
17:40:09.238,-130.93,5.63,
17:40:09.426,-132.93,3.96,
17:40:09.538,-134.41,5.0,
17:40:09.629,-135.94,3.96,
17:40:09.720,-143.92,1.39,
17:40:09.843,-134.13,5.84,
17:40:10.053,-134.7,3.86,
17:40:10.168,-96.36,13.07,
17:40:10.199,-142.8,13.96,
17:40:10.228,-160.78,3.99,
17:40:10.348,-116.45,-0.71,
17:40:10.439,-107.66,-2.42,
17:40:10.501,-125.03,2.19,0.0
17:40:10.921,-123.34,0.34,
17:40:11.009,-65.79,2.82,-2.0
17:40:11.219,-175.54,2.93,
17:40:11.314,-139.42,9.69,
17:40:11.405,-133.28,4.21,
17:40:11.523,-124.64,12.58,
17:40:11.579,-125.78,17.3,
17:40:11.700,-157.05,6.25,
17:40:11.791,-137.43,9.01,
17:40:11.973,-144.49,4.83,
17:40:11.999,-127.15,10.31,
17:40:12.179,-139.95,3.77,
17:40:12.179,-143.22,1.35,
17:40:12.272,-137.47,3.99,
17:40:12.419,-132.28,4.83,
17:40:12.481,-129.43,3.12,
17:40:12.603,-130.86,2.36,
17:40:12.693,-122.05,5.08,
17:40:12.812,-118.26,5.44,
17:40:12.904,-123.71,4.05,
17:40:12.959,-119.88,2.34,
17:40:13.077,-114.87,3.57,
17:40:13.168,-116.77,2.32,
17:40:13.257,-112.76,1.96,
17:40:13.412,-113.37,1.76,
17:40:13.469,-109.58,3.14,
17:40:13.588,-110.92,3.0,
17:40:13.677,-108.71,3.34,
17:40:13.797,-106.91,3.44,
17:40:13.857,-103.78,3.05,
17:40:13.977,-103.53,3.92,
17:40:14.069,-105.29,3.57,
17:40:14.157,-100.36,5.49,
17:40:14.279,-99.83,4.79,-2.0
17:40:14.367,-104.59,3.31,
17:40:14.487,-98.57,5.69,-1.0
17:40:14.547,-101.59,5.25,
17:40:14.667,-99.78,4.89,-2.0
17:40:14.818,-107.19,2.8,
17:40:14.847,-104.48,3.73,
17:40:14.941,-101.52,4.34,
17:40:15.061,-98.85,6.09,-2.0
17:40:15.150,-97.21,7.47,-2.0
17:40:15.240,-87.19,7.78,-2.0
17:40:15.357,-92.03,8.98,-2.0
17:40:15.451,-82.15,9.43,-2.0
17:40:15.571,-80.98,11.07,
17:40:15.632,-84.12,10.43,
17:40:15.749,-98.81,11.24,
17:40:15.837,-104.45,8.17,
17:40:15.929,-78.7,12.17,
17:40:16.051,-99.14,9.31,-2.0
17:40:16.141,-105.89,2.54,
17:40:16.229,-88.09,6.94,-2.0
17:40:16.349,-91.54,8.25,-2.0
17:40:16.439,-92.56,8.35,-2.0
17:40:16.529,-89.12,8.08,-2.0
17:40:16.617,-98.67,7.93,-1.0
17:40:16.739,-93.56,8.75,-2.0
17:40:16.828,-112.87,4.54,
17:40:16.919,-109.01,5.99,
17:40:17.007,-91.01,10.42,
17:40:17.097,-110.8,7.56,
17:40:17.218,-114.05,6.3,
17:40:17.307,-112.07,9.41,
17:40:17.428,-109.34,11.24,
17:40:17.488,-139.4,11.26,
17:40:17.638,-143.34,-4.03,
17:40:17.788,-136.49,4.43,
17:40:17.908,-136.43,0.74,
17:40:17.998,-135.97,0.25,
17:40:18.117,-131.07,-0.55,
17:40:18.211,-134.02,7.59,0.0
17:40:18.298,-81.92,7.77,-2.0
17:40:18.780,-133.7,8.85,
17:40:18.869,-6.01,1.19,-31.0
17:40:18.992,-55.37,8.59,-2.0
17:40:19.080,-157.08,-4.17,
17:40:19.201,-171.52,11.38,
17:40:19.290,-133.7,6.67,
17:40:19.382,-139.78,4.15,
17:40:19.497,-143.95,-5.54,
17:40:19.562,-79.61,14.39,
17:40:19.707,-31.96,9.69,8.0
17:40:20.068,-156.68,-0.73,
17:40:20.160,0.36,-4.62,-34.0
17:40:20.489,-130.45,9.54,
17:40:20.550,-130.43,11.12,
17:40:20.638,-130.71,5.76,
17:40:20.757,-18.45,15.05,
17:40:20.847,-194.19,12.6,
17:40:21.269,-19.85,6.28,-2.0
17:40:21.357,24.21,10.07,-3.0
17:40:21.569,-158.3,4.38,
17:40:21.629,-115.54,9.49,
17:40:21.781,-139.83,3.16,
17:40:21.839,-147.72,-6.88,
17:40:21.927,-48.53,14.56,
17:40:22.052,-28.66,4.08,8.0
17:40:22.231,-97.64,-74.69,
17:40:22.467,-230.93,11.04,
17:40:22.557,24.42,-12.8,
17:40:22.858,-105.19,8.64,
17:40:22.921,-104.98,16.52,
17:40:23.010,-140.54,1.5,
17:40:23.219,-89.91,15.15,
17:40:23.219,-21.37,9.77,2.0
17:40:23.639,-167.11,7.89,
17:40:23.699,-31.76,5.15,-3.0
17:40:23.819,-147.32,1.66,
17:40:23.998,-168.53,-8.56,
17:40:24.117,-144.75,5.7,
17:40:24.209,-143.48,4.9,
17:40:24.327,-30.66,11.21,
17:40:24.452,-209.95,21.13,
17:40:24.807,-164.42,6.69,
17:40:24.897,-14.94,2.83,-3.0
17:40:25.109,-137.03,15.25,
17:40:25.197,-121.45,7.6,
17:40:25.318,-148.87,9.33,
17:40:25.407,-158.61,11.18,
17:40:25.469,-42.56,13.71,
17:40:25.587,46.59,19.11,10.0
17:40:26.007,-27.41,-1.19,
17:40:26.102,-163.57,-7.72,
17:40:26.372,-135.13,1.92,
17:40:26.461,-142.82,6.7,
17:40:26.580,-128.88,3.35,1.0
