time,Roll,Pitch,Yaw
16:26:12.953,1.22,79.19,119.0
16:26:12.953,1.17,79.24,119.0
16:26:13.074,1.53,79.28,120.0
16:26:13.074,1.9,79.27,120.0
16:26:13.075,1.7,79.28,120.0
16:26:13.104,1.53,79.3,120.0
16:26:13.164,1.21,79.31,119.0
16:26:13.192,0.72,79.29,119.0
16:26:13.447,0.23,79.26,118.0
16:26:13.492,0.3,79.3,119.0
16:26:13.554,-0.02,79.31,11.0
16:26:13.554,0.01,79.29,118.0
16:26:13.554,0.01,79.51,118.0
16:26:13.555,0.51,79.57,119.0
16:26:13.614,1.01,79.45,119.0
16:26:13.674,0.98,79.34,119.0
16:26:13.675,0.6,79.25,119.0
16:26:13.734,0.24,79.16,118.0
16:26:13.792,-0.4,79.16,11.0
16:26:13.792,-0.62,79.17,11.0
16:26:13.881,-0.48,79.2,11.0
16:26:13.881,-0.4,79.27,11.0
16:26:13.882,-0.03,79.31,11.0
16:26:13.913,0.37,79.3,118.0
16:26:13.974,0.01,79.27,118.0
16:26:14.096,-0.35,79.23,11.0
16:26:14.096,-0.68,79.15,11.0
16:26:14.096,-1.06,79.15,11.0
16:26:14.184,-1.5,79.15,11.0
16:26:14.184,-1.55,79.11,11.0
16:26:14.184,-1.73,79.12,11.0
16:26:14.185,-1.57,79.15,11.0
16:26:14.246,-1.45,79.1,11.0
16:26:14.304,-1.56,79.09,11.0
16:26:14.304,-1.71,79.14,11.0
16:26:14.332,-1.98,79.1,11.0
16:26:14.486,-1.94,79.09,11.0
16:26:14.487,-2.13,79.12,11.0
16:26:14.488,-1.74,79.13,11.0
16:26:14.605,-1.74,79.11,11.0
16:26:14.606,-1.55,79.12,11.0
16:26:14.606,-1.49,79.15,11.0
16:26:14.606,-1.24,79.12,11.0
16:26:14.727,-0.97,79.12,11.0
16:26:14.728,-0.54,79.16,11.0
16:26:14.728,-0.71,79.16,11.0
16:26:14.980,-0.65,79.2,11.0
16:26:14.980,-0.55,79.24,11.0
16:26:14.980,-0.34,79.28,11.0
16:26:14.980,-0.52,79.34,11.0
16:26:15.116,0.09,79.5,118.0
16:26:15.117,0.01,79.49,118.0
16:26:15.117,0.2,79.51,118.0
16:26:15.117,0.38,79.54,119.0
16:26:15.142,0.25,79.49,118.0
16:26:15.202,0.01,79.48,118.0
16:26:15.203,0.05,79.47,118.0
16:26:15.232,0.4,79.42,119.0
16:26:15.296,0.47,79.4,119.0
16:26:15.321,0.64,79.45,119.0
16:26:15.444,1.24,79.5,119.0
16:26:15.445,1.71,79.51,120.0
16:26:15.445,1.45,79.54,120.0
16:26:15.445,0.85,79.53,119.0
16:26:15.472,0.56,79.49,119.0
16:26:15.502,0.14,79.48,118.0
16:26:15.532,-0.58,79.43,11.0
16:26:15.594,-0.9,79.4,11.0
16:26:15.686,-0.47,79.42,11.0
16:26:15.687,-0.18,79.49,11.0
16:26:15.687,-0.21,79.52,11.0
16:26:15.712,-0.34,79.57,11.0
16:26:15.772,-0.07,79.61,11.0
16:26:15.772,-0.21,79.63,11.0
16:26:15.803,0.2,79.59,118.0
16:26:15.867,0.24,79.53,118.0
16:26:15.892,0.66,79.49,119.0
16:26:15.924,1.1,79.47,119.0
16:26:15.983,1.12,79.45,119.0
16:26:15.984,0.7,79.44,119.0
16:26:16.044,0.94,79.41,119.0
16:26:16.073,1.18,79.38,119.0
16:26:16.102,0.99,79.41,119.0
16:26:16.132,1.1,79.38,119.0
16:26:16.193,1.23,79.34,119.0
16:26:16.193,1.36,79.38,119.0
16:26:16.222,1.07,79.41,119.0
16:26:16.314,0.8,79.39,119.0
16:26:16.341,1.03,79.44,119.0
16:26:16.342,1.54,79.44,120.0
